total_bill,tip,sex,smoker,day,time,size
16.99,1.01,Female,No,Sun,Dinner,2
10.34,1.66,Male,No,Sun,Dinner,3
21.01,3.5,Male,No,Sun,Dinner,3
23.68,3.31,Male,No,Sun,Dinner,2
24.59,3.61,Female,No,Sun,Dinner,4
25.29,4.71,Male,No,Sun,Dinner,4
8.77,2.0,Male,No,Sun,Dinner,2
26.88,3.12,Male,No,Sun,Dinner,4
15.04,1.96,Male,No,Sun,Dinner,2
14.78,3.23,Male,No,Sun,Dinner,2
10.27,1.71,Male,No,Sun,Dinner,2
35.26,5.0,Female,No,Sun,Dinner,4
15.42,1.57,Male,No,Sun,Dinner,2
18.43,3.0,Male,No,Sun,Dinner,4
14.83,3.02,Female,No,Sun,Dinner,2
21.58,3.92,Male,No,Sun,Dinner,2
10.33,1.67,Female,No,Sun,Dinner,3
16.29,3.71,Male,No,Sun,Dinner,3
16.97,3.5,Female,No,Sun,Dinner,3
20.83,3.15,Male,No,Sun,Dinner,3
16.48,3.0,Male,No,Sat,Dinner,3
20.69,2.67,Male,No,Sat,Dinner,3
19.08,1.5,Female,No,Sat,Dinner,2
19.81,4.19,Female,No,Sat,Dinner,2
16.24,2.0,Female,No,Sat,Dinner,2
16.64,2.0,Female,No,Sat,Dinner,2
17.27,2.17,Female,No,Sat,Dinner,2
17.73,1.87,Male,No,Sat,Dinner,2
20.9,2.7,Male,No,Sat,Dinner,3
18.0,2.0,Male,Yes,Sat,Dinner,2
20.9,3.9,Female,No,Sat,Dinner,3
17.92,3.6,Female,No,Sat,Dinner,2
15.36,1.64,Female,Yes,Sat,Dinner,2
13.07,1.5,Female,No,Sat,Dinner,2
19.71,2.75,Male,No,Sat,Dinner,3
15.46,1.9,Male,Yes,Sat,Dinner,2
14.83,1.85,Male,No,Sat,Dinner,2
10.29,1.5,Female,No,Sat,Dinner,2
22.65,3.0,Female,No,Sat,Dinner,2
11.65,1.25,Female,No,Sat,Dinner,2
25.56,4.34,Male,Yes,Sat,Dinner,4
20.69,3.0,Male,No,Sat,Dinner,3
22.4,3.1,Male,No,Sat,Dinner,3
20.76,2.0,Female,No,Sat,Dinner,2
18.79,2.6,Female,No,Sat,Dinner,2
11.27,1.45,Female,No,Sat,Dinner,2
25.71,3.95,Female,No,Sat,Dinner,4
14.07,2.5,Female,No,Sat,Dinner,2
13.0,2.3,Female,No,Sat,Dinner,2
17.89,3.3,Male,No,Sat,Dinner,3
19.0,2.3,Male,Yes,Sat,Dinner,3
20.9,3.6,Female,No,Sat,Dinner,3
11.35,1.65,Female,No,Sun,Dinner,2
8.72,1.25,Female,No,Sun,Dinner,2
16.0,2.5,Male,Yes,Sun,Dinner,2
19.25,2.0,Male,No,Sun,Dinner,2
29.85,5.14,Female,No,Sun,Dinner,5
16.81,2.7,Male,No,Sun,Dinner,2
16.3,2.7,Male,No,Sun,Dinner,2
17.63,2.75,Female,No,Sun,Dinner,2
24.5,3.55,Male,No,Sun,Dinner,2
20.92,3.15,Female,No,Sun,Dinner,3
18.99,2.5,Male,No,Sun,Dinner,2
12.06,2.0,Female,No,Sun,Dinner,2
20.39,3.0,Female,No,Sun,Dinner,4
30.94,4.9,Male,No,Sun,Dinner,3
15.77,2.1,Female,No,Sun,Dinner,2
18.02,2.3,Male,No,Sun,Dinner,2
23.86,3.15,Male,No,Sun,Dinner,3
16.99,2.55,Female,No,Sun,Dinner,2
25.18,2.75,Female,No,Thur,Lunch,3
17.41,2.1,Female,No,Thur,Lunch,2
17.07,2.5,Male,No,Thur,Lunch,3
20.45,1.95,Male,No,Thur,Lunch,2
17.1,2.0,Male,No,Thur,Lunch,2
12.61,1.8,Male,No,Thur,Lunch,2
16.8,1.85,Male,No,Thur,Lunch,2
16.29,1.75,Male,No,Thur,Lunch,2
14.68,2.0,Male,No,Thur,Lunch,2
10.49,1.25,Female,No,Thur,Lunch,2
13.1,1.5,Female,No,Thur,Lunch,2
10.27,1.5,Female,No,Thur,Lunch,2
20.45,2.4,Female,No,Thur,Lunch,2
17.22,2.0,Male,No,Thur,Lunch,2
19.34,2.5,Male,No,Thur,Lunch,3
17.78,2.0,Male,No,Thur,Lunch,2
17.9,1.82,Male,No,Thur,Lunch,2
16.78,2.0,Male,No,Thur,Lunch,2
17.81,2.1,Male,No,Thur,Lunch,2
14.04,1.5,Female,No,Thur,Lunch,2
16.54,2.0,Male,No,Thur,Lunch,2
22.55,3.0,Female,No,Thur,Lunch,2
14.26,1.5,Female,No,Thur,Lunch,2
14.1,2.0,Male,No,Thur,Lunch,2
19.58,2.5,Female,No,Thur,Lunch,2
20.53,2.5,Female,No,Thur,Lunch,3
10.53,1.5,Male,No,Thur,Lunch,2
20.72,2.0,Female,No,Thur,Lunch,2
16.0,2.5,Female,Yes,Fri,Lunch,2
17.15,2.0,Female,No,Fri,Lunch,2
22.06,2.0,Male,Yes,Fri,Lunch,2
